id,name,pure_name,internal_id,nickname,official_url,resplendent_url,resplendent_costume,resplendent_date,skills,skill_rarity,sex,release_date,thumb,english_name,epithet,english_epithet,description,origin,how_to_get,type,weapon_type,move_type,illustrator,cv,special_type,duo_skill,is_distributed,resplendent,rarity,rarity3,strength,weekness,recommend,hp_5,atk_5,spd_5,def_5,res_5,hp_5_lv1,atk_5_lv1,spd_5_lv1,def_5_lv1,res_5_lv1,style
15,"パオラ","|パオラ|","","",https://guide.fire-emblem-heroes.com/01004004000029-2/,https://fehpass.fire-emblem-heroes.com/ja/00004004000029/,"アルフ",2023-03-25,"|白騎の長剣|旭日の剣+|月虹|救援の行路3|飛刃の紋章|","|鉄の剣:3|鋼の剣:3|旭日の剣:3|旭日の剣+:5|白騎の長剣:5|影月:3|月虹:4|救援の行路1:3|救援の行路2:4|救援の行路3:5|速さの紋章1:3|速さの紋章2:3|飛刃の紋章:4|","女",2017-02-02,Palla.png,Palla,"白騎の長姉","Eldest Whitewing","マケドニア王国のペガサス三姉妹の長女。 世話好きで、包容力にあふれた性格。 (登場:『ファイアーエムブレム 紋章の謎』)","紋章の謎","ガチャ","赤","剣","飛行","|cuboon|さいね|","|種田梨沙|",,"","",true,"星4|星3","星4|星3","","","",42,31,31,28,26,18,7,9,6,7,""
16,"ハロルド","|ハロルド|","","",https://guide.fire-emblem-heroes.com/11005013000052-2/,"","",,"|ハロルドの雄斧|深緑の斧+|入れ替え|HP3|槍殺し3|","|鉄の斧:3|鋼の斧:3|深緑の斧:3|深緑の斧+:5|ハロルドの雄斧:5|入れ替え:3|HP1:3|HP2:3|HP3:4|槍殺し1:3|槍殺し2:4|槍殺し3:5|","男",2017-02-02,Arthur.png,Arthur,"不運なヒーロー","Hapless Hero","暗夜王国の戦士。エリーゼの臣下。 常に正しさを追求し続けるが、極端に運が悪い。 （登場:『ファイアーエムブレム if』）",if,"ガチャ","緑","斧","歩行","|メンダコ|","|北沢力|","","","",,"星4|星3","星4|星3","","","",43,32,29,30,24,19,8,7,8,5,""
17,"ホークアイ","|ホークアイ|","","",https://guide.fire-emblem-heroes.com/06013002000051-2/,"","",,"|守護者の巨斧|キラーアクス+|爆光|鬼神の一撃3|攻撃の威嚇3|","|鉄の斧:3|鋼の斧:3|キラーアクス:3|キラーアクス+:5|守護者の巨斧:5|砕光:3|爆光:4|鬼神の一撃1:3|鬼神の一撃2:4|鬼神の一撃3:5|攻撃の威嚇1:3|攻撃の威嚇2:3|攻撃の威嚇3:4|","男",2017-02-02,Hawkeye.png,Hawkeye,"砂漠の守護者","Desert Guardian","ナバタ砂漠の守護者。寡黙で、己の役割に忠実。 人と竜が暮らす理想郷の平和を守っている。 （登場:『ファイアーエムブレム　烈火の剣』）","烈火の剣","ガチャ","緑","斧","歩行",|HACCAN|,"|丹沢晃之|","","","",,"星4|星3","星4|星3","","","",45,33,22,28,30,21,9,5,6,6,""
18,"ミネルバ","|ミネルバ|","","",https://guide.fire-emblem-heroes.com/01004002000057-2/,https://fehpass.fire-emblem-heroes.com/ja/00004002000057/,"ムスペル",2020-07-10,"|オートクレール|聖兜|死線3|飛盾の紋章|","|鉄の斧:5|鋼の斧:5|銀の斧:5|オートクレール:5|聖衣:5|聖兜:5|死線1:5|死線2:5|死線3:5|守備の紋章1:5|守備の紋章2:5|飛盾の紋章:5|","女",2017-02-02,Minerva.png,Minerva,"赤い竜騎士","Red Dragoon","【赤い竜騎士】と呼ばれるマケドニア王女。 敬愛していた兄ミシェイルと袂を分かち、相争った。 (登場:『ファイアーエムブレム　紋章の謎』)","紋章の謎","ガチャ","緑","斧","飛行","|Daisuke Izuka|芳久|","|佐倉綾音|","","",pay,true,"星5","星5","","","",40,31,33,32,22,18,7,9,8,5,""
19,"アルフォンス","|アルフォンス|","","",https://guide.fire-emblem-heroes.com/00001001000021-2/,"","",,"|フォルクヴァング|太陽|鬼神の一撃3|攻撃の紋章3|","|鉄の剣:2|鋼の剣:2|銀の剣:3|フォルクヴァング:5|陽影:2|太陽:4|鬼神の一撃1:2|鬼神の一撃2:2|鬼神の一撃3:4|攻撃の紋章1:3|攻撃の紋章2:4|攻撃の紋章3:5|","男",2017-02-02,Alfonse.png,Alfonse,"アスク王国の王子","Prince of Askr","アスク王国の王子。優しく真面目な性格。 特務機関の一員として、国の平和を守っている。","ヒーローズ","特務機関","赤","剣","歩行","|コザキユースケ|","|鈴木達央|","","",true,,"星4","星4","","","",43,35,25,32,22,19,9,6,8,5,""
20,"エスト","|エスト|","","",https://guide.fire-emblem-heroes.com/01004006000042-2/,https://fehpass.fire-emblem-heroes.com/ja/00004006000042/,"アルフ",2022-01-10,"|白騎の短槍|貫きの槍+|体当たり|魔防の覚醒3|速さ封じ3|","|鉄の槍:3|鋼の槍:3|貫きの槍:3|貫きの槍+:5|白騎の短槍:5|体当たり:3|魔防の覚醒1:3|魔防の覚醒2:3|魔防の覚醒3:4|速さ封じ1:3|速さ封じ2:4|速さ封じ3:5|","女",2017-02-02,Est.png,Est,"白騎の末妹","Junior Whitewing","マケドニア王国のペガサス三姉妹の末妹。 明るく子供っぽい性格。アベルとは恋仲。 （登場:『ファイアーエムブレム　紋章の謎』）","紋章の謎","ガチャ","青","槍","飛行","|みわべさくら|紺藤ココン|","|村川梨衣|","","",pay,true,"星4|星3","星4|星3","","","",36,35,30,24,32,17,9,8,5,8,""
21,"オグマ","|オグマ|","","",https://guide.fire-emblem-heroes.com/01002002000006-2/,"","",,"|剣闘士の剛剣|勇者の剣+|夕陽|攻撃の覚醒3|攻撃の紋章3|","|鉄の剣:3|鋼の剣:3|勇者の剣:3|勇者の剣+:5|剣闘士の剛剣:5|陽影:3|夕陽:4|攻撃の覚醒1:3|攻撃の覚醒2:3|攻撃の覚醒3:4|攻撃の紋章1:3|攻撃の紋章2:4|攻撃の紋章3:5|","男",2017-02-02,Ogma.png,Ogma,"タリスの傭兵","Loyal Blade","タリス王女シーダに仕える、傭兵隊隊長。 奴隷剣闘士だった過去を持つ。 (登場:『ファイアーエムブレム 紋章の謎』)","紋章の謎","ガチャ","赤","剣","歩行","|山田章博|","|小杉十郎太|","","","",,"星4|星3","星4|星3","","","",47,35,34,28,13,21,7,10,6,3,""
22,"オボロ","|オボロ|","","",https://guide.fire-emblem-heroes.com/11002011000031-2/,"","",,"|オボロの漆薙刀|貫きの槍+|守備の応援|守備封じ3|魔防の威嚇3|","|鉄の槍:3|鋼の槍:3|貫きの槍:3|貫きの槍+:5|オボロの漆薙刀:5|守備の応援:3|守備封じ1:3|守備封じ2:3|守備封じ3:4|魔防の威嚇1:3|魔防の威嚇2:4|魔防の威嚇3:5|","女",2017-02-02,Oboro.png,Oboro,"魔王顔の","Fierce Fighter","白夜王国の槍術士。タクミの臣下。 おしゃれが大好きで、暗夜王国が大嫌い。 （登場:『ファイアーエムブレム　ｉｆ』）",if,"ガチャ","青","槍","歩行","|上田夢人|","|ささきのぞみ|","","","",,"星4|星3","星4|星3","","","",40,32,26,35,24,18,8,7,9,5,""
23,"カザハナ","|カザハナ|","","",https://guide.fire-emblem-heroes.com/11002013000017-2/,https://fehpass.fire-emblem-heroes.com/ja/00002013000017/,"ヨトゥン",2024-04-10,"|カザハナの麗刀|アーマーキラー+|攻撃の応援|死線3|進軍阻止3|","|鉄の剣:3|鋼の剣:3|アーマーキラー:3|アーマーキラー+:5|カザハナの麗刀:5|攻撃の応援:3|死線1:3|死線2:4|死線3:5|進軍阻止1:3|進軍阻止2:3|進軍阻止3:4|","女",2017-02-02,Hana.png,Hana,"お転婆侍","Focused Samurai","白夜王国の侍。サクラの臣下で親友。国でも指折りの刀の使い手で、明るくお転婆。(登場:『ファイアーエムブレムif』)",if,"ガチャ","赤","剣","歩行","|藤ちょこ|夕子|","|菅谷弥生|",,"",true,true,"星4|星3","星4|星3","","","",37,35,36,23,26,18,9,10,6,4,""
24,"カムイ(女)","|カムイ女|","","",https://guide.fire-emblem-heroes.com/11001002000097-2/,https://fehpass.fire-emblem-heroes.com/ja/00001002000097/,"スヴァルトアルフ",2023-01-25,"|冥輝のブレス|闇のブレス+|竜裂|魔防封じ3|攻撃の鼓舞3|","|火のブレス:3|火炎のブレス:3|闇のブレス:3|闇のブレス+:5|冥輝のブレス:5|伏竜:3|竜裂:4|魔防封じ1:3|魔防封じ2:4|魔防封じ3:5|攻撃の鼓舞1:3|攻撃の鼓舞2:3|攻撃の鼓舞3:4|","女",2017-02-02,Corrin-F.png,Corrin,"未来を選びし王女","Fateful Princess","白夜王国で生まれ、暗夜王国で育った王女。 神器【夜刀神】の使い手。自らの進む道を選び戦う。 (登場:『ファイアーエムブレム　if』)",if,"ガチャ","青","青竜","歩行",|bthx|ekao|,"|佐藤聡美|","","",true,true,"星4|星3","星4|星3","","","",41,27,34,34,21,19,8,6,8,6,""
25,"クロム","|クロム|","","",https://guide.fire-emblem-heroes.com/10001001000011-2/,https://fehpass.fire-emblem-heroes.com/ja/00001001000011/,"ムスペル",2021-06-10,"|ファルシオン(覚醒)|封剣ファルシオン|天空|守備の覚醒3|守備の紋章3|","|鉄の剣:3|鋼の剣:3|銀の剣:3|ファルシオン:5|陽影:3|太陽:4|天空:5|守備の覚醒1:3|守備の覚醒2:3|守備の覚醒3:4|守備の紋章1:3|守備の紋章2:4|守備の紋章3:5|","男",2017-02-02,Chrom.png,Chrom,"新たなる聖王","Exalted Prince","イーリス聖王国の王子。【英雄王】の末裔。 自警団の団長を務め、国の平和を守っている。 （登場:『ファイアーエムブレム　覚醒』）","覚醒","ガチャ","赤","剣","歩行","|えびら|п猫R|","|杉田智和|","","",true,true,"星4|星3","星4|星3","","","",47,37,25,31,17,21,9,6,7,4,""
26,"セルジュ","|セルジュ|","","",https://guide.fire-emblem-heroes.com/10008002000060-2/,"","",,"|セルジュの恐斧|ハンマー+|回り込み|攻撃3|守備の鼓舞3|","|鉄の斧:3|鋼の斧:3|ハンマー:3|ハンマー+:5|セルジュの恐斧:5|回り込み:3|攻撃1:3|攻撃2:3|攻撃3:4|守備の鼓舞1:3|守備の鼓舞2:4|守備の鼓舞3:5|","女",2017-02-02,Cherche.png,Cherche,"竜好きの竜騎士","Wyvern Friend","ヴィオール公爵家に仕える竜騎士。愛竜はミネルヴァ。 家庭的で穏やかな性格だが独特の美意識を持つ。 (登場:『ファイアーエムブレム 覚醒』)","覚醒","ガチャ","緑","斧","飛行","|ワダサチコ|","|高田憂希|","","",true,,"星4|星3","星4|星3","","","",46,38,25,32,16,20,10,6,8,3,""
27,"チキ(大人)","|チキ|","","",https://guide.fire-emblem-heroes.com/10009001000095-2/,https://fehpass.fire-emblem-heroes.com/ja/00009001000095/,"スヴァルトアルフ",2023-12-10,"|霧のブレス|雷のブレス+|緋炎|攻撃の覚醒3|魔防の紋章3|","|火のブレス:3|火炎のブレス:3|霧のブレス:5|雷のブレス:3|雷のブレス+:5|蛍火:3|緋炎:4|攻撃の覚醒1:3|攻撃の覚醒2:3|攻撃の覚醒3:4|魔防の紋章1:3|魔防の紋章2:4|魔防の紋章3:5|","女",2017-02-02,Tiki-Adult.png,Tiki,"神竜の巫女","Naga's Voice","神竜族の巫女。神話の時代から生き続けており、 【英雄王】マルスとはかつて共に戦った仲。 (登場:『ファイアーエムブレム　覚醒』)","覚醒","ガチャ","赤","赤竜","歩行","|いとうのいぢ|ゾノタイダ|","|大谷育江|","","",true,true,"星4|星3","星4|星3","","","",40,35,23,35,24,18,7,6,9,7,""
28,"ツバキ","|ツバキ|","","",https://guide.fire-emblem-heroes.com/11002014000047-2/,"","",,"|ツバキの金薙刀|蒼海の槍+|入れ替え|魔防3|切り返し3|","|鉄の槍:3|鋼の槍:3|蒼海の槍:3|蒼海の槍+:5|ツバキの金薙刀:5|入れ替え:3|魔防1:3|魔防2:3|魔防3:4|切り返し1:3|切り返し2:4|切り返し3:5|","男",2017-02-02,Subaki.png,Subaki,"完璧主義","Perfect Expert","白夜王国の天馬武者。サクラの臣下。 眉目秀麗、頭脳明晰な完璧主義者。 （登場:『ファイアーエムブレム　if』）",if,"ガチャ","青","槍","飛行","|由良|","|茂木たかまさ|","","",true,,"星4|星3","星4|星3","","","",40,25,35,35,22,18,6,9,9,5,""
29,"ヒナタ","|ヒナタ|","","|奮迅師匠|",https://guide.fire-emblem-heroes.com/11002010000018-2/,"","",,"|ヒナタの猛刀|旭日の剣+|大盾|獅子奮迅3|差し違え3|","|鉄の剣:3|鋼の剣:3|旭日の剣:3|旭日の剣+:5|ヒナタの猛刀:5|小盾:3|大盾:4|獅子奮迅1:3|獅子奮迅2:3|獅子奮迅3:4|差し違え1:3|差し違え2:4|差し違え3:5|","男",2017-02-02,Hinata.png,Hinata,"破天荒な侍","Wild Samurai","白夜王国の侍。タクミの臣下。 がさつで大雑把だが仲間思いの一面もある。 （登場：『ファイアーエムブレム　ｉｆ』）",if,"ガチャ","赤","剣","歩行","|上田夢人|","|市来光弘|","","",true,,"星4|星3","星4|星3","","","",47,32,24,36,18,21,8,5,10,3,""
30,"フィル","|フィル|","","",https://guide.fire-emblem-heroes.com/05008006000009-2/,https://fehpass.fire-emblem-heroes.com/ja/00008006000009/,"ニフル",2023-11-10,"|無銘の一門の剣|氷華|速さ3|すり抜け3|","|鉄の剣:3|鋼の剣:3|キルソード:3|キルソード+:5|無銘の一門の剣:5|氷点:3|氷華:4|速さ1:3|速さ2:3|速さ3:4|すり抜け1:3|すり抜け2:4|すり抜け3:5|","女",2017-02-02,Fir.png,Fir,"剣聖をつぐ者","Sword Student","剣の修行のため、世界中を旅している少女。 生真面目で純粋だが、世間知らずな一面も。 (登場:『ファイアーエムブレム 封印の剣』)","封印の剣","ガチャ","赤","剣","歩行","|kaya8|朝日川日和|","|日笠陽子|","","",true,true,"星4|星3","星4|星3","","","",41,25,36,24,31,19,6,10,5,7,""
31,"フロリーナ","|フロリーナ|","","",https://guide.fire-emblem-heroes.com/06010003000044-2/,https://fehpass.fire-emblem-heroes.com/ja/00010003000044,"ヘル",2022-01-25,"|フロリーナの誓槍|貫きの槍+|献身|飛燕の一撃3|生の息吹3|","|鉄の槍:3|鋼の槍:3|貫きの槍:3|貫きの槍+:5|フロリーナの誓槍:5|献身:3|飛燕の一撃1:3|飛燕の一撃2:3|飛燕の一撃3:4|生の息吹1:3|生の息吹2:4|生の息吹3:5|","女",2017-02-02,Florina.png,Florina,"可憐な天馬騎士","Lovely Flier","イリア天馬騎士団の三姉妹の末妹。リンの親友。 動物好きで心優しく、内気な性格。 (登場:『ファイアーエムブレム 烈火の剣』)","烈火の剣","ガチャ","青","槍","飛行","|ザザ|ぷきゅのすけ|","|白城なお|","","",true,true,"星4|星3","星4|星3","","","",42,29,27,25,34,18,7,8,6,8,""
32,"ベルカ","|ベルカ|","","",https://guide.fire-emblem-heroes.com/11005007000062-2/,"","",,"|ベルカの殺斧|キラーアクス+|凶星|守備の覚醒3|切り込み|","|鉄の斧:3|鋼の斧:3|キラーアクス:3|キラーアクス+:5|ベルカの殺斧:5|星影:3|凶星:4|守備の覚醒1:3|守備の覚醒2:3|守備の覚醒3:4|切り込み:3|","女",2017-02-02,Beruka.png,Beruka,"殺し屋","Quiet Assassin","暗夜王国の竜騎士。カミラの臣下。 凄腕の殺し屋で、人を寄せ付けない雰囲気を持つ。 （登場:『ファイアーエムブレム　if』）",if,"ガチャ","緑","斧","飛行",|lack|,"|田澤茉純|","","","",,"星4|星3","星4|星3","","","",46,29,23,37,22,20,7,6,9,5,""
